Title,nonfungibleness,transferrable,Generation,Generative,ownership_period,OnChain,Category,Format,Type,Interactive,Animated,Website,OpenSea,Twitter,Contract,image,Detail,Network,Date
Art Blocks Curated: Chromie Squiggle,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,Art,Visual,Animated visuals,TRUE,TRUE,https://artblocks.io/project/0,https://opensea.io/collection/chromie-squiggle-by-snowfro,https://twitter.com/artblocks_io,https://etherscan.io/address/0x059edd72cd353df5106d2b9cc5ab83a52287ac3a,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/chromie%20squiggle.gif,,Ethereum,"November 27, 2020"
Art Blocks Curated: Dynamic Slices,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,Art,Visual,Animated visuals,TRUE,TRUE,https://artblocks.io/project/4,https://opensea.io/collection/art-blocks?search[sortAscending]=true&search[sortBy]=PRICE&search[stringTraits][0][name]=Dynamic%20Slices&search[stringTraits][0][values][0]=All%20Dynamic%20Slices&collectionSlug=art-blocks,https://twitter.com/artblocks_io,https://etherscan.io/address/0x059edd72cd353df5106d2b9cc5ab83a52287ac3a,,,Ethereum,"December 12, 2021"
Art Blocks Curated: Unigrids,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,Art,Audiovisual,Audio beats,TRUE,TRUE,https://artblocks.io/project/12,https://opensea.io/collection/unigrids-by-zeblocks,https://twitter.com/artblocks_io,https://etherscan.io/address/0x059edd72cd353df5106d2b9cc5ab83a52287ac3a,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/unigrids.png,infinite music,Ethereum,"January 26, 2021"
Eulerbeats Genesis,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,Art,Audiovisual,Music,FALSE,TRUE,https://eulerbeats.com/genesis,https://opensea.io/collection/eulerbeats,https://twitter.com/eulerbeats,https://etherscan.io/address/0x8754f54074400ce745a7ceddc928fb1b7e985ed6,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/eulerbeats.gif,royalty system,Ethereum,"February 13, 2021"
Deafbeef,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,Art,Audiovisual,Music,FALSE,TRUE,https://www.deafbeef.com/,https://opensea.io/collection/deafbeef,https://twitter.com/_deafbeef,https://etherscan.io/address/0xd754937672300ae6708a51229112de4017810934,,,Ethereum,"March 12, 2021"
ByteBeats,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,Art,Audiovisual,Audio beats,TRUE,TRUE,https://artblocks.io/project/38,https://opensea.io/collection/bytebeats-by-dadabots-x-kai,https://twitter.com/artblocks_io,https://etherscan.io/address/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,,infinite music,Ethereum,"April 2, 2021"
Bored Ape Yacht Club,Fully nonfungible,TRUE,Generative,TRUE,Forever,FALSE,PFP,Visual,Still images,FALSE,FALSE,https://boredapeyachtclub.com/,https://opensea.io/collection/boredapeyachtclub,https://twitter.com/BoredApeYC,https://etherscan.io/address/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,,,Ethereum,"April 22, 2021"
Luchadores,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,PFP,Visual,Animated visuals,FALSE,TRUE,https://luchadores.io/,https://opensea.io/collection/luchadores-io,https://twitter.com/LuchadoresNFT,https://etherscan.io/address/0x8b4616926705fb61e9c4eeac07cd946a5d4b0760,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/luchadores.gif,,Ethereum,"May 14, 2021"
Etherpoems,Fully nonfungible,TRUE,Curated,FALSE,Forever,TRUE,Art,Textual,Poem,FALSE,FALSE,https://etherpoems.com/,https://opensea.io/collection/etherpoems,https://twitter.com/digitalartchick,https://etherscan.io/address/0x46c31b6b330c4522d6b37cb3cecdf2da9ff46f61,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/etherpoems.jpeg,,Ethereum,"May 28, 2021"
Lil Fuks,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,PFP,Visual,Animated visuals,FALSE,TRUE,https://fuckyous.wtf/,https://opensea.io/collection/lil-fks,https://twitter.com/FuckYousNFT,https://etherscan.io/address/0xcd860df00125f37a588a7b1662c5bf7c29c572b2,,,Ethereum,"July 14, 2021"
